Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[infect]	Sample Characteristic Ontology Term[infect]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[infect]	Factor Value Ontology Term[infect]	Factor Value[time]	Factor Value Ontology Term[time]	Analysed
SRR6039754	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	4 day		Yes
SRR6039755	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	4 day		Yes
SRR6039756	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	4 day		Yes
SRR6039757	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	6 day		Yes
SRR6039758	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	6 day		Yes
SRR6039759	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	6 day		Yes
SRR6039760	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	8 day		Yes
SRR6039761	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	8 day		Yes
SRR6039762	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	8 day		Yes
SRR6039763	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	12 day		Yes
SRR6039764	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	12 day		Yes
SRR6039765	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	none	http://www.ebi.ac.uk/efo/EFO_0001461	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	none	http://www.ebi.ac.uk/efo/EFO_0001461	12 day		Yes
